α	alpha | negative | copulative | intensive
Ααρων	Aaron
Αβαδδων	Abaddon
αβαρης	without weight | not burdensome
Αββα	Abba, Father
Αβειληνη	Abilene
Αβελ	Abel
Αβια	Abia, Abijah
Αβιαθαρ	Abiathar
Αβιληνη	
Αβιουδ	Abiud | Abihud
Αβρααμ	Abraham
αβυσσος	boundless, bottomless | the abyss
Αγαβος	Agabus
αγαθοεργεω	to do good | show kindness
αγαθοποιεω	to do good
αγαθοποιια	well-doing
αγαθοποιος	doing well | acting rightly
αγαθος	good | thy favour, benefit
αγαθουργεω	to do good
αγαθωσυνη	goodness
αγαλλιασις	exultation, exuberant joy
αγαλλιαω	to exult, rejoice greatly
αγαμος	unmarried
αγανακτεω	to be indignant
αγανακτησις	indignation
αγαπαω	to love
αγαπη	love | goodwill | esteem | love feasts
αγαπητος	beloved
Αγαρ	Hagar
αγγαρευω	to impress | to compel
αγγειον	a vessel
αγγελια	a message
αγγελλω	to announce, report
αγγελος	a messenger | angel
αγγος	a vessel
αγε	come!
αγελη	a herd
αγενεαλογητος	without genealogy
αγενης	unborn | of no family | ignoble | base
αγιαζω	to make holy | consecrate | sanctify | to dedicate | separate | set apart for God | to purify | to treat as holy
αγιασμος	consecration | sanctification
αγιος|G40	dedicated to the gods | sacred | holy
αγιοτης	sanctity | holiness
αγιωσυνη	holiness
αγκαλη	the bent arm
αγκιστρον	a fish-hook
αγκυρα	an anchor
αγναφος	uncarded | undressed
αγνεια	purity
αγνιζω	to purify | cleanse from defilement
αγνισμος	purification
αγνοεω	to be ignorant | not to know | not to understand
αγνοημα	a sin of ignorance
αγνοια	ignorance
αγνος	free from ceremonial defilement | holy | sacred | venerable | pure | chaste | undefiled | guiltless
αγνοτης	purity | chastity
αγνως	purely | with pure motives
αγνωσια	ignorance
αγνωστος	unknown
αγορα	an assembly | a place of assembly | a public place | forum | a market-place
αγοραζω	to frequent the | to buy in the market | purchase
αγοραιος	frequenting the | a lounger in the | proper to the | court-days are kept
αγρα	the chase | a hunting | catching | that which is taken | a catch
αγραμματος	without learning | un-lettered
αγραυλεω	to live in the fields
αγρευω	to catch | take
αγριελαιος	of the wild olive | the wild olive
αγριος	living in fields, wild | savage, fierce
Αγριππας	Agrippa
αγρος	a field | the country | country places, farms | a piece of ground
αγρυπνεω	to be sleepless, wakeful | to be watchful, vigilant
αγρυπνια	sleeplessness | watching
αγυια	
αγω	to lead, bring, carry | to lead, guide, impel | to spend | keep | to go
αγωγη	a carrying away | a leading, guiding | training | conduct, way of life
αγων	a gathering | a place of assembly | a contest, struggle, trial | solicitude, anxiety
αγωνια	a contest, wrestling | great fear, agony, anguish
αγωνιζομαι	to contend for a prize | to fight, struggle, strive
Αδαμ	Adam
αδαπανος	without expense | free of charge
Αδδει	Addei
αδελφη	a sister
αδελφος	a brother
αδελφοτης	brotherhood, brotherly affection | the brotherhood
αδηλος	unseen | unobserved | not manifest | uncertain | indistinct
αδηλοτης	uncertainty
αδηλως	uncertainly
αδημονεω	to be troubled, distressed
αδης	Hades | the abode of Hades, the underivorld | Hades
αδιακριτος	not to be parted, mixed, undistinguishable | without uncertainty
αδιαλειπτος	unremitting | incessant
αδιαλειπτως	unremittingly | incessantly
αδικεω	do wrong | act wickedly | criminally | to do hurt | to do | wrong | to wrong | suffer . . . to be wronged | to injure, hurt
αδικημα	a wrong | injury | misdeed
αδικια	injustice | unrighteousness | iniquity | an unrighteous act
αδικος	unjust | unrighteous, wicked
αδικως	unjustly, undeservedly
Αδμειν	Admin.
αδοκιμος	not standing the test | rejected | rejected after testing | reprobate
αδολος	guileless | genuine, pure
Αδραμυττηνος	Adramyttium
Αδριας	the Adriatic
αδροτης	thickness | vigour | abundance | bounty
αδυνατεω	to be unable | to be impossible
αδυνατος	unable | powerless | impossible
αδω	to sing
αει	ever | unceasingly | perpetually | on every occasion
αετος	an eagle | vulture
αζυμος	unleavened | the paschal feast | free from corruption
Αζωρ	Azor
Αζωτος	Azotus
αηδια	unpleasantness | odiousness | dislike | disagreement
αηρ	air
αθανασια	immortality
αθεμιτος	lawless | lawless | unlawful
αθεος	slighting | denying the gods | godless, ungodly | abandoned by the gods | without God, not knowing God
αθεσμος	lawless
αθετεω	to set aside, disregard | to reject as spurious | to nullify, make void | to reject
αθετησις	a disannulling | setting aside
Αθηναι	Athens
Αθηναιος	Athenian
αθλεω	to contend | wrestle | combat
αθλησις	a contest | combat | a struggle
αθροιζω	to gather | assemble
αθυμεω	to be disheartened
αθωος	unpunished | innocent
αιγειος	of a goat
αιγιαλος	the sea-shore | beach
Αιγυπτιος	Egyptian
Αιγυπτος	Egypt
αιδιος	everlasting
αιδως	a sense of shame | modesty
Αιθιοψ	Ethiopian
Αιλαμιτης	
αιμα	blood.
αιματεκχυσια	shedding of blood
αιμορροεω	to lose blood | suffer from a flow of blood
Αινεας	Æneas
αινεσις	praise
αινεω	to praise
αινιγμα	a dark saying | riddle
αινος	a tale | praise | a decree
Αινων	Aenon
αιρεσις	capture | choosing | choice | that which is chosen | opinion | a peculiar opinion | heresy | a school, sect, party, faction
αιρετιζω	to choose
αιρετικος	capable of choosing | causing division | heretical | factious
αιρεω	to take | to choose
αιρω	to raise | take up | lift | draw up | to bear | carry | to bear or take away | carry off | remove
αισθανομαι	to perceive
αισθησις	perception
αισθητηριον	sense | organ of perception
αισχροκερδης	greedy of base gains
αισχροκερδως	from eagerness for base gain
αισχρολογια	abusive language | abuse
αισχρος|G150	base | shameful
αισχροτης	baseness
αισχυνη	shame | shameful deeds
αισχυνω	to disfigure | to dishonour | to make ashamed | to be put to shame, be ashamed
αιτεω	to ask | request
αιτημα	a petition | request
αιτια	cause | reason | occasion | case | accusation | cause for punishment | crime
αιτιον	
αιτιος	causative of | responsible | for | the cause | author | the cause | blameworthy | culpable | the culprit | the accused | the crime
αιτιωμα	a charge | accusation
αιφνιδιος	sudden | unexpected
αιχμαλωσια	captivity
αιχμαλωτευω	to lead captive
αιχμαλωτιζω	to take | lead captive
αιχμαλωτος	captive
αιων	a space of time | an age, eternity | forever | never | the worlds, the universe | the present age
αιωνιος	age-long | eternal
ακαθαρσια	uncleanness | impurity
ακαθαρτης	uncleanness
ακαθαρτος	unclean, impure
ακαιρεομαι	to have no opportunity
ακαιρως	out of season | unseasonably
ακακος	simple | guileless | undamaged
ακανθα	a prickly plant | thorn | brier
ακανθινος	of thorns | of acantha-wood
ακαρπος	unfruitful | barren
ακαταγνωστος	not open to just rebuke | irreprehensible
ακατακαλυπτος	uncovered | unveiled
ακατακριτος	uncondemned | without trial, not yet tried
ακαταλυτος	indissoluble
ακαταπαυστος	that cannot cease | not to be restrained
ακαταστασια	instability | confusion | tumult
ακαταστατος	unsettled | unstable
ακατασχετος	that cannot be restrained
Ακελδαμαχ	
ακεραιος	unmixed | pure | guileless | simple
ακλινης	unbending | firm
ακμαζω	to be at the prime | to be ripe
ακμην	a point | at the present point of time | even now | even yet
ακοη	hearing | the sense of hearing | organ of hearing | the ear | a thing heard | a message | teaching | a report | rumour
ακολουθεω	to accompany | follow
ακουω	to hear | listen | attend | perceive by hearing | comprehend by hearing
ακρασια	want of power | want of self-control | incontinence
ακρατης	powerless | impotent | lacking self-control | incontinent
ακρατος	unmixed | pure
ακριβεια	exactness | precision
ακριβης	exact | precise | careful
ακριβοω	to enquire with exactness | learn carefully
ακριβως|G199	with exactness | carefully
ακρις	a locust
ακροατηριον	a place of audience
ακροατης	a hearer
ακροβυστια	the prepuce | foreskin | uncircumcision | the uncircumcised
ακρογωνιαιος	at the extreme angle | the corner foundation stone
ακροθινιον	the top of a heap | first-fruits | the choicest spoils
ακρον	
ακρος	highest | extreme | the top | extremity
Ακυλας	Aquila
ακυροω	to revoke | invalidate
ακωλυτως	without hindrance
ακων	unwilling
αλαβαστρον	 box of alabaster
αλαζονια	boastfulness | vainglory | vaunting
αλαζων	a vagabond | an impostor | a boaster
αλαλαζω	to raise a war-cry | shout with triumph | joy | to wail
αλαλητος	inexpressible | not to be uttered
αλαλος	dumb | speechless
αλας	salt | wit
αλεευς	a fisherman
αλειφω	to anoint
